"(0.42999999999999999, 0.1113, 0.31169999999999998, 0.36259999999999998, 0.44109999999999999)",[ 2.2901  2.3581  0.25  ]
"(-0.39529999999999998, 0.4128, -0.34789999999999999, -0.42859999999999998, 0.4834)",[ 3.2308  1.2099  0.25  ]
"(0.2334, -0.36309999999999998, -0.023800000000000002, -0.1147, 0.12759999999999999)",[ 3.5904 -0.6116  0.25  ]
"(-0.25059999999999999, -0.39739999999999998, 0.31319999999999998, 0.17549999999999999, -0.16839999999999999)",[ 3.5417 -0.854   0.25  ]
"(-0.22919999999999999, -0.19239999999999999, 0.26800000000000002, 0.076399999999999996, 0.047399999999999998)",[ 3.6785  0.0975  0.25  ]
"(0.308, 0.0814, 0.4425, -0.075399999999999995, 0.26079999999999998)",[ 3.0073  1.8162  0.25  ]
"(0.11890000000000001, 0.25319999999999998, 0.14269999999999999, 0.17230000000000001, -0.26629999999999998)",[ 3.5989  0.2917  0.25  ]
"(-0.26469999999999999, -0.1767, 0.013899999999999999, 0.32179999999999997, -0.47699999999999998)",[ 3.2076 -1.6957  0.25  ]
"(-0.38140000000000002, 0.087900000000000006, -0.14249999999999999, -0.28320000000000001, 0.44819999999999999)",[ 3.4605  0.8824  0.25  ]
"(-0.31709999999999999, -0.34150000000000003, -0.4708, -0.15909999999999999, -0.35149999999999998)",[ 2.0687 -2.4956  0.25  ]
"(-0.13689999999999999, -0.078899999999999998, 0.36099999999999999, -0.1384, -0.098400000000000001)",[ 3.6735 -0.0662  0.25  ]
"(0.43180000000000002, 0.28470000000000001, 0.1641, 0.0143, 0.035099999999999999)",[ 3.295   1.3115  0.25  ]
"(0.099099999999999994, -0.2228, -0.43309999999999998, 0.35620000000000002, 0.087499999999999994)",[ 3.5606 -0.6224  0.25  ]
"(-0.064100000000000004, 0.0212, 0.50029999999999997, 0.25829999999999997, 0.12180000000000001)",[ 3.1659  1.465   0.25  ]
"(0.22939999999999999, -0.081900000000000001, 0.39829999999999999, -0.39119999999999999, -0.15229999999999999)",[ 3.6421 -0.3498  0.25  ]
"(-0.2417, 0.3458, 0.3261, 0.50539999999999996, 0.36559999999999998)",[ 2.12    2.4888  0.25  ]
"(0.26100000000000001, 0.29859999999999998, -0.1216, 0.40789999999999998, -0.38129999999999997)",[ 3.5681 -0.1164  0.25  ]
"(-0.22320000000000001, -0.4798, -0.30809999999999998, 0.42430000000000001, -0.49030000000000001)",[ 2.3909 -2.4999  0.25  ]
"(-0.19769999999999999, -0.44750000000000001, 0.1333, 0.0033999999999999998, 0.21129999999999999)",[ 3.6258 -0.3766  0.25  ]
"(0.042799999999999998, -0.47239999999999999, -0.13239999999999999, 0.1767, 0.4572)",[ 3.6202  0.2123  0.25  ]
"(-0.36659999999999998, -0.1094, -0.24859999999999999, 0.443, -0.13980000000000001)",[ 3.5541 -0.8222  0.25  ]
"(-0.11, 0.33879999999999999, -0.47149999999999997, -0.49220000000000003, 0.129)",[ 3.4469 -0.2108  0.25  ]
"(-0.2969, 0.058099999999999999, 0.31690000000000002, 0.1951, 0.4884)",[ 2.8318  2.135   0.25  ]
"(-0.0373, -0.35980000000000001, 0.029999999999999999, 0.2712, 0.25)",[ 3.6563  0.2394  0.25  ]
"(0.1651, -0.0327, -0.092499999999999999, 0.4985, -0.34260000000000002)",[ 3.5263 -0.6965  0.25  ]
"(0.35410000000000003, 0.14929999999999999, 0.48820000000000002, 0.37619999999999998, 0.13950000000000001)",[ 2.6318  1.8963  0.25  ]
